"Diabetes, urogenital, blood, and endocrine diseases",,,,,,,,,,
Location,FIPS,"Mortality Rate, 1980*","Mortality Rate, 1985*","Mortality Rate, 1990*","Mortality Rate, 1995*","Mortality Rate, 2000*","Mortality Rate, 2005*","Mortality Rate, 2010*","Mortality Rate, 2014*","% Change in Mortality Rate, 1980-2014"
"King County, Texas",48269,"40.70 (34.54, 47.00)","35.01 (29.22, 40.48)","44.11 (37.58, 50.87)","48.99 (41.61, 56.81)","54.16 (44.79, 64.44)","56.47 (47.24, 66.40)","54.10 (44.41, 64.61)","58.08 (47.34, 69.88)","42.73 (23.82, 66.47)"
"Kinney County, Texas",48271,"67.18 (60.62, 74.67)","61.52 (56.33, 67.28)","56.85 (52.18, 61.57)","57.99 (53.39, 62.72)","60.15 (55.20, 65.23)","57.48 (52.66, 62.53)","53.12 (47.82, 58.26)","53.44 (47.86, 59.37)","-20.45 (-31.23, -7.47)"
"Kleberg County, Texas",48273,"60.14 (55.64, 64.72)","62.67 (58.56, 66.98)","68.09 (64.25, 72.12)","76.92 (72.92, 81.24)","85.11 (80.71, 89.59)","86.30 (81.39, 90.92)","83.43 (78.70, 88.39)","84.97 (79.48, 90.61)","41.28 (26.81, 57.35)"
"Knox County, Texas",48275,"52.24 (47.45, 57.01)","53.87 (49.71, 58.13)","58.78 (54.63, 63.18)","65.37 (60.73, 70.23)","73.41 (68.24, 78.74)","78.50 (72.69, 85.06)","71.75 (65.70, 77.84)","73.67 (67.12, 80.90)","41.03 (23.11, 62.20)"
"La Salle County, Texas",48283,"73.81 (67.41, 80.51)","75.91 (69.76, 82.12)","79.27 (73.17, 85.36)","88.89 (82.49, 95.70)","99.19 (92.14, 106.28)","98.42 (91.15, 106.73)","93.09 (85.59, 101.62)","90.37 (81.85, 99.42)","22.44 (7.41, 39.91)"
"Lamar County, Texas",48277,"52.91 (49.46, 56.48)","54.52 (51.41, 57.53)","56.46 (53.62, 59.43)","61.02 (57.80, 64.07)","68.26 (64.98, 71.59)","71.30 (67.74, 74.70)","66.96 (63.47, 70.70)","67.95 (64.08, 71.73)","28.41 (16.62, 39.76)"
"Lamb County, Texas",48279,"41.08 (38.13, 44.30)","45.38 (42.32, 48.32)","50.62 (47.73, 53.54)","60.94 (57.56, 64.47)","72.80 (69.14, 76.85)","80.18 (75.49, 84.96)","79.84 (74.53, 84.84)","84.62 (79.13, 90.68)","105.97 (84.37, 128.70)"
"Lampasas County, Texas",48281,"42.96 (39.36, 46.52)","45.51 (42.51, 48.74)","50.09 (47.04, 53.30)","57.70 (54.44, 61.41)","66.11 (62.35, 70.12)","71.81 (67.60, 76.08)","68.70 (64.44, 73.10)","72.63 (67.50, 77.81)","69.06 (51.53, 90.37)"
"Lavaca County, Texas",48285,"43.75 (40.82, 46.90)","44.90 (42.20, 47.90)","46.62 (44.16, 49.40)","51.93 (48.98, 54.79)","57.42 (54.46, 60.78)","60.00 (56.55, 63.29)","57.02 (53.71, 60.25)","58.38 (54.56, 62.09)","33.45 (19.97, 47.04)"
"Lee County, Texas",48287,"47.24 (43.39, 51.16)","46.37 (43.05, 49.85)","47.33 (44.26, 50.54)","50.85 (47.57, 53.98)","55.24 (51.92, 58.65)","53.62 (49.85, 57.15)","50.12 (46.37, 53.73)","49.26 (45.39, 53.19)","4.26 (-6.47, 17.16)"
"Leon County, Texas",48289,"58.97 (54.59, 63.59)","56.41 (52.60, 60.38)","55.67 (52.32, 59.15)","59.80 (56.26, 63.28)","65.39 (61.69, 69.23)","64.82 (61.01, 68.52)","59.49 (55.80, 63.02)","60.23 (56.15, 64.43)","2.14 (-7.70, 12.91)"
"Liberty County, Texas",48291,"62.83 (58.88, 66.77)","62.28 (58.76, 65.79)","64.87 (61.65, 68.32)","70.09 (66.83, 73.60)","75.41 (72.02, 79.06)","73.79 (70.04, 77.57)","69.73 (66.37, 73.39)","71.08 (67.46, 75.11)","13.12 (4.18, 23.63)"
"Limestone County, Texas",48293,"63.01 (59.04, 67.09)","65.22 (61.34, 69.18)","65.73 (62.33, 69.33)","75.86 (72.13, 79.88)","81.95 (77.85, 86.27)","85.46 (81.22, 89.88)","79.22 (74.84, 83.80)","79.38 (74.59, 84.12)","25.98 (15.66, 38.59)"
"Lipscomb County, Texas",48295,"40.57 (36.42, 45.24)","43.19 (39.32, 47.44)","47.39 (43.52, 51.72)","56.71 (52.22, 61.37)","69.08 (63.70, 75.04)","74.40 (67.72, 81.21)","74.98 (67.47, 82.42)","78.42 (70.04, 87.38)","93.29 (65.43, 124.93)"
"Live Oak County, Texas",48297,"41.48 (37.95, 44.99)","43.50 (40.27, 46.79)","46.08 (43.04, 49.33)","51.22 (48.05, 54.39)","59.03 (55.37, 62.47)","61.16 (57.32, 65.15)","56.60 (52.72, 60.55)","57.14 (52.79, 61.52)","37.76 (22.57, 54.61)"
"Llano County, Texas",48299,"35.59 (32.63, 38.42)","35.59 (33.18, 38.16)","36.09 (33.86, 38.42)","38.36 (36.11, 40.62)","41.31 (38.89, 43.82)","41.02 (38.54, 43.43)","39.30 (36.71, 41.92)","39.00 (36.22, 41.92)","9.59 (-2.33, 23.77)"
"Loving County, Texas",48301,"44.38 (36.26, 54.48)","41.44 (33.96, 51.63)","48.55 (39.65, 59.39)","54.00 (43.29, 66.71)","54.44 (43.00, 67.87)","58.71 (47.02, 73.43)","57.40 (45.32, 72.53)","70.75 (54.05, 91.47)","59.42 (29.74, 97.51)"
"Lubbock County, Texas",48303,"40.09 (37.91, 42.18)","43.31 (41.24, 45.50)","47.25 (45.16, 49.42)","56.79 (54.47, 59.20)","70.65 (67.81, 73.44)","78.60 (75.50, 81.73)","77.43 (74.48, 80.77)","77.51 (74.32, 80.71)","93.34 (80.79, 107.40)"
"Lynn County, Texas",48305,"51.61 (47.43, 55.98)","55.33 (51.06, 59.59)","60.53 (56.43, 64.88)","69.38 (64.88, 74.18)","80.56 (75.20, 86.09)","82.81 (76.70, 88.69)","79.59 (73.60, 86.41)","86.45 (79.26, 94.43)","67.52 (48.16, 90.28)"
"Madison County, Texas",48313,"51.44 (47.28, 55.65)","50.91 (47.21, 54.75)","52.62 (48.93, 56.07)","57.22 (53.72, 60.95)","62.66 (58.64, 66.56)","63.31 (59.37, 67.68)","59.43 (55.18, 63.63)","58.54 (53.94, 63.50)","13.80 (1.05, 28.85)"
"Marion County, Texas",48315,"58.68 (53.96, 63.50)","59.72 (55.13, 64.00)","62.29 (58.42, 66.36)","67.76 (63.77, 71.62)","75.50 (70.98, 79.95)","80.64 (75.74, 85.53)","74.90 (69.68, 80.17)","77.78 (71.68, 84.16)","32.54 (17.58, 49.17)"
"Martin County, Texas",48317,"43.36 (39.19, 47.47)","45.69 (41.77, 49.57)","49.50 (45.65, 53.53)","55.36 (50.88, 59.93)","63.23 (58.28, 68.46)","65.47 (60.02, 71.09)","62.17 (56.29, 68.27)","62.89 (56.52, 69.36)","45.05 (26.58, 67.23)"
"Mason County, Texas",48319,"41.92 (38.05, 45.73)","43.35 (39.81, 47.19)","44.83 (41.60, 48.51)","48.81 (45.20, 52.40)","52.96 (49.02, 57.34)","52.22 (47.82, 56.73)","49.00 (44.62, 53.45)","50.07 (44.88, 55.29)","19.46 (4.33, 36.97)"
"Matagorda County, Texas",48321,"60.79 (56.72, 65.20)","60.86 (57.29, 64.63)","64.86 (61.43, 68.29)","72.36 (68.74, 76.31)","78.67 (74.61, 82.75)","76.65 (72.80, 80.94)","72.44 (68.53, 76.30)","72.13 (67.70, 76.43)","18.65 (7.66, 31.05)"
"Maverick County, Texas",48323,"75.62 (70.51, 81.20)","76.16 (71.66, 80.99)","80.42 (76.08, 84.90)","87.59 (82.93, 91.83)","96.38 (91.53, 101.18)","97.69 (92.91, 102.79)","90.83 (86.04, 95.39)","89.71 (84.90, 94.67)","18.63 (6.70, 30.93)"
"McCulloch County, Texas",48307,"46.35 (42.76, 50.33)","49.04 (45.79, 52.49)","53.02 (49.91, 56.55)","59.60 (56.00, 63.35)","67.65 (63.56, 71.90)","70.85 (66.06, 75.74)","68.39 (63.20, 73.49)","72.37 (66.67, 78.21)","56.15 (37.75, 74.95)"
"McLennan County, Texas",48309,"48.52 (46.19, 50.98)","48.85 (46.60, 51.40)","53.76 (51.56, 56.39)","58.45 (56.13, 60.85)","67.22 (64.40, 69.97)","72.72 (69.83, 75.76)","66.18 (63.59, 68.94)","65.88 (62.89, 69.10)","35.77 (27.19, 45.06)"
"McMullen County, Texas",48311,"53.00 (46.53, 60.37)","55.14 (48.92, 61.74)","58.33 (51.64, 65.74)","64.67 (57.19, 72.79)","74.75 (65.31, 84.33)","73.62 (64.39, 83.76)","65.71 (56.86, 75.47)","63.02 (53.63, 73.47)","18.91 (-0.74, 40.36)"
"Medina County, Texas",48325,"57.23 (53.37, 61.49)","56.52 (53.33, 60.04)","56.86 (53.77, 60.12)","62.70 (59.44, 66.35)","67.66 (64.38, 71.37)","66.45 (63.05, 69.87)","62.72 (59.28, 66.49)","60.92 (57.05, 64.98)","6.45 (-3.87, 18.03)"
"Menard County, Texas",48327,"48.52 (44.05, 53.05)","50.49 (46.15, 55.04)","53.08 (48.68, 57.35)","58.96 (54.12, 63.87)","66.46 (61.30, 71.95)","65.65 (60.20, 71.45)","61.57 (55.86, 67.69)","66.34 (59.66, 72.98)","36.74 (19.47, 55.48)"
"Midland County, Texas",48329,"34.68 (32.42, 36.93)","35.62 (33.55, 37.79)","37.86 (35.87, 39.87)","42.75 (40.79, 45.11)","48.25 (45.99, 50.51)","50.08 (47.76, 52.31)","47.96 (45.68, 50.32)","49.38 (46.91, 52.06)","42.37 (31.16, 54.70)"
"Milam County, Texas",48331,"52.41 (48.95, 56.05)","53.39 (50.24, 56.57)","53.97 (51.00, 57.13)","59.55 (56.42, 62.85)","62.36 (59.02, 65.77)","64.08 (60.26, 67.94)","59.78 (56.19, 63.49)","59.62 (55.65, 63.37)","13.76 (3.23, 24.65)"
"Mills County, Texas",48333,"42.26 (38.34, 46.34)","44.10 (40.59, 47.90)","46.97 (43.46, 50.67)","53.58 (49.89, 57.49)","61.21 (56.82, 65.71)","65.25 (60.59, 70.07)","61.78 (57.03, 67.13)","61.91 (56.53, 67.72)","46.51 (28.35, 66.94)"
"Mitchell County, Texas",48335,"45.11 (41.55, 48.73)","46.81 (43.41, 50.17)","49.53 (46.22, 52.95)","57.54 (53.61, 61.21)","67.18 (63.11, 71.56)","71.66 (66.60, 76.96)","66.53 (61.58, 71.82)","68.40 (62.80, 74.70)","51.62 (33.83, 71.08)"
"Montague County, Texas",48337,"45.06 (41.84, 48.31)","47.00 (44.17, 50.10)","50.93 (48.19, 53.83)","55.61 (52.60, 58.71)","62.03 (58.72, 65.62)","65.28 (61.62, 69.23)","61.77 (57.84, 66.01)","61.75 (57.64, 65.97)","37.04 (23.80, 52.10)"
"Montgomery County, Texas",48339,"47.69 (44.99, 50.67)","47.37 (44.97, 49.82)","48.27 (46.06, 50.39)","51.01 (48.67, 53.31)","55.58 (53.27, 58.16)","55.71 (53.27, 58.14)","46.96 (45.09, 48.90)","49.38 (47.24, 51.66)","3.55 (-3.96, 11.69)"
"Moore County, Texas",48341,"40.58 (37.55, 43.89)","44.06 (40.88, 47.42)","49.00 (46.05, 52.31)","57.55 (54.23, 60.97)","66.09 (62.31, 70.02)","71.33 (67.00, 75.93)","69.56 (65.15, 73.71)","72.72 (67.65, 77.70)","79.19 (60.61, 98.74)"
"Morris County, Texas",48343,"58.12 (53.88, 62.71)","60.25 (56.26, 64.22)","64.81 (61.17, 68.58)","71.36 (67.30, 75.34)","80.40 (76.05, 85.31)","82.25 (77.62, 86.87)","78.70 (73.70, 83.70)","78.62 (73.37, 83.97)","35.27 (21.54, 50.20)"
"Motley County, Texas",48345,"37.25 (33.39, 41.31)","40.65 (36.86, 45.06)","43.79 (40.05, 48.12)","50.99 (46.29, 56.16)","58.58 (52.77, 64.65)","56.98 (51.34, 63.24)","54.73 (48.18, 61.55)","62.55 (54.75, 71.25)","67.95 (43.55, 96.85)"
"Nacogdoches County, Texas",48347,"52.30 (48.82, 56.20)","54.45 (51.31, 57.85)","57.95 (55.15, 61.21)","64.89 (61.86, 68.12)","76.19 (72.46, 79.94)","79.28 (75.61, 83.11)","76.51 (72.49, 80.29)","74.89 (70.74, 79.39)","43.20 (30.48, 57.11)"
"Navarro County, Texas",48349,"53.75 (50.10, 57.16)","55.98 (52.97, 58.99)","60.91 (57.81, 64.11)","69.32 (65.91, 72.60)","76.03 (72.58, 79.52)","80.27 (76.53, 84.49)","78.44 (74.43, 82.61)","80.11 (75.53, 84.83)","49.04 (36.76, 61.99)"
"Newton County, Texas",48351,"64.73 (59.69, 69.98)","66.36 (61.47, 71.38)","67.26 (62.87, 71.89)","72.91 (68.57, 77.55)","78.10 (73.37, 83.00)","76.95 (72.24, 82.10)","69.81 (65.36, 74.49)","69.17 (63.86, 74.72)","6.85 (-4.37, 19.21)"
"Nolan County, Texas",48353,"43.32 (40.15, 46.68)","45.64 (42.49, 48.81)","49.92 (46.96, 53.07)","57.82 (54.46, 61.45)","66.74 (62.85, 70.73)","69.69 (65.71, 73.98)","70.39 (66.09, 75.06)","71.77 (66.66, 76.96)","65.68 (49.53, 84.68)"
"Nueces County, Texas",48355,"60.63 (57.59, 63.85)","61.76 (59.26, 64.39)","66.78 (64.06, 69.74)","74.45 (71.52, 77.43)","88.26 (84.91, 91.52)","88.42 (85.33, 91.92)","80.23 (77.10, 83.36)","81.06 (77.89, 84.46)","33.68 (25.75, 42.33)"
"Ochiltree County, Texas",48357,"46.27 (42.28, 50.92)","49.51 (45.39, 53.80)","54.31 (50.55, 58.42)","65.14 (61.14, 69.53)","79.24 (73.87, 84.58)","86.95 (80.59, 93.28)","86.85 (79.83, 93.49)","91.32 (83.35, 99.46)","97.33 (71.44, 125.00)"
"Oldham County, Texas",48359,"35.32 (31.46, 39.60)","35.93 (32.18, 39.89)","38.20 (34.49, 42.17)","43.95 (39.75, 48.33)","52.57 (47.31, 58.09)","55.89 (50.01, 62.28)","52.93 (46.97, 59.41)","55.61 (48.80, 63.00)","57.46 (35.80, 81.84)"
"Orange County, Texas",48361,"59.62 (55.86, 63.51)","58.43 (55.07, 62.06)","61.76 (58.38, 64.89)","63.82 (60.39, 67.09)","67.42 (64.29, 70.73)","68.14 (64.80, 71.57)","62.73 (59.72, 66.02)","63.15 (59.93, 66.67)","5.92 (-2.55, 15.31)"
"Palo Pinto County, Texas",48363,"52.78 (49.25, 56.63)","53.85 (50.54, 57.28)","55.72 (52.81, 58.71)","60.51 (57.38, 63.85)","67.12 (63.50, 70.47)","67.42 (64.03, 70.81)","63.83 (60.15, 67.38)","64.05 (59.99, 68.07)","21.37 (10.99, 34.64)"
"Panola County, Texas",48365,"49.55 (45.81, 53.54)","53.38 (49.95, 57.11)","59.87 (56.47, 63.34)","71.33 (67.52, 75.01)","79.93 (75.75, 84.30)","89.81 (84.90, 95.12)","87.98 (82.88, 93.17)","89.14 (83.34, 94.68)","79.92 (62.41, 98.99)"
"Parker County, Texas",48367,"40.65 (37.78, 43.47)","41.97 (39.25, 44.67)","43.52 (41.15, 46.03)","48.34 (45.76, 50.92)","52.48 (49.94, 55.10)","53.70 (51.12, 56.40)","50.41 (47.87, 53.25)","50.56 (47.88, 53.73)","24.39 (13.79, 36.54)"
"Parmer County, Texas",48369,"39.11 (35.63, 42.83)","41.75 (38.64, 45.04)","45.98 (42.95, 49.37)","53.31 (49.65, 57.10)","61.97 (57.63, 66.34)","69.05 (63.96, 74.15)","67.80 (62.54, 72.96)","72.60 (66.65, 79.20)","85.62 (63.86, 111.63)"
"Pecos County, Texas",48371,"50.43 (46.77, 54.60)","52.30 (49.01, 56.00)","56.41 (53.03, 60.02)","65.27 (61.43, 69.11)","72.39 (68.14, 76.81)","77.88 (72.93, 82.52)","71.73 (66.93, 76.95)","74.93 (69.24, 81.03)","48.56 (33.02, 66.77)"
"Polk County, Texas",48373,"52.66 (49.18, 56.01)","52.18 (49.39, 55.23)","52.63 (49.83, 55.58)","57.33 (54.56, 60.38)","62.06 (58.84, 65.08)","59.78 (56.85, 62.91)","57.91 (54.74, 61.12)","58.04 (54.66, 61.67)","10.22 (0.21, 20.71)"
"Potter County, Texas",48375,"36.53 (34.40, 38.77)","40.09 (37.91, 42.29)","48.60 (46.25, 51.20)","56.95 (54.21, 59.67)","67.43 (64.39, 70.58)","75.28 (71.70, 78.57)","78.04 (74.45, 81.49)","87.39 (83.08, 91.68)","139.20 (122.26, 158.92)"
"Presidio County, Texas",48377,"54.42 (48.77, 60.11)","53.25 (48.54, 58.05)","52.20 (48.17, 56.44)","52.99 (49.20, 56.70)","53.57 (49.66, 57.41)","47.68 (43.88, 51.83)","41.80 (37.78, 46.03)","42.56 (38.08, 47.60)","-21.79 (-33.45, -7.20)"
"Rains County, Texas",48379,"43.59 (39.47, 48.06)","43.45 (39.97, 47.44)","44.42 (41.07, 48.05)","48.20 (44.80, 51.93)","53.27 (49.51, 57.59)","53.07 (49.14, 56.89)","48.37 (44.48, 52.53)","48.81 (44.64, 53.14)","11.97 (-1.79, 26.57)"
"Randall County, Texas",48381,"25.60 (23.79, 27.53)","27.80 (26.02, 29.69)","30.56 (28.85, 32.49)","34.54 (32.69, 36.44)","39.16 (37.22, 41.15)","43.25 (41.13, 45.33)","43.45 (41.20, 45.68)","45.90 (43.32, 48.56)","79.34 (63.82, 95.76)"
"Reagan County, Texas",48383,"44.70 (40.09, 49.57)","48.02 (43.18, 52.96)","53.03 (48.52, 58.09)","58.90 (53.61, 64.34)","66.85 (60.94, 73.41)","70.07 (63.22, 77.21)","65.95 (59.09, 73.79)","69.23 (61.42, 77.93)","54.86 (32.76, 77.99)"
"Real County, Texas",48385,"44.68 (39.83, 49.56)","45.00 (40.43, 49.63)","46.28 (42.27, 50.59)","47.96 (43.75, 52.22)","51.19 (46.37, 56.37)","52.08 (47.25, 57.77)","47.51 (42.54, 52.68)","46.32 (40.75, 52.02)","3.68 (-11.69, 22.51)"
"Red River County, Texas",48387,"51.51 (47.91, 55.14)","53.61 (50.28, 57.13)","56.91 (53.46, 60.35)","63.63 (60.11, 67.35)","70.74 (66.56, 74.89)","74.76 (70.26, 79.35)","72.04 (67.44, 76.68)","71.08 (66.57, 76.06)","38.00 (24.64, 52.53)"
"Reeves County, Texas",48389,"51.50 (47.25, 55.94)","54.02 (50.07, 57.79)","58.39 (54.70, 62.33)","63.98 (60.27, 67.93)","70.66 (66.39, 74.90)","74.27 (69.57, 79.08)","68.78 (63.91, 73.70)","67.90 (63.00, 73.65)","31.85 (16.85, 48.44)"
"Refugio County, Texas",48391,"63.13 (57.80, 68.23)","64.83 (60.09, 69.62)","67.89 (63.32, 72.49)","77.21 (72.16, 82.32)","88.99 (82.97, 94.48)","88.17 (81.81, 94.29)","85.14 (79.08, 91.50)","85.76 (78.81, 92.93)","35.84 (20.40, 53.63)"
"Roberts County, Texas",48393,"38.47 (33.68, 43.73)","39.63 (35.25, 44.47)","42.10 (37.45, 47.32)","51.91 (46.39, 58.47)","61.88 (54.79, 69.88)","60.95 (53.81, 69.21)","61.51 (54.15, 70.00)","64.84 (56.10, 74.59)","68.56 (43.91, 96.68)"
"Robertson County, Texas",48395,"69.98 (64.96, 74.95)","67.66 (63.60, 72.07)","66.95 (63.09, 70.78)","69.91 (65.97, 73.97)","75.24 (71.11, 79.50)","72.68 (68.78, 77.11)","66.10 (62.06, 70.55)","65.39 (60.90, 69.90)","-6.56 (-15.75, 3.44)"
"Rockwall County, Texas",48397,"46.41 (42.51, 50.87)","43.90 (40.62, 47.51)","43.62 (40.76, 46.60)","46.36 (43.75, 49.39)","50.02 (47.20, 52.90)","49.67 (46.78, 52.66)","46.45 (43.80, 49.18)","46.44 (43.63, 49.48)","0.08 (-10.53, 11.24)"
"Runnels County, Texas",48399,"46.04 (42.43, 49.62)","49.76 (46.51, 53.05)","55.64 (52.32, 59.16)","63.89 (60.45, 67.47)","73.28 (68.95, 77.49)","80.77 (75.89, 85.91)","77.78 (72.30, 83.11)","80.01 (74.27, 86.19)","73.80 (55.91, 93.87)"
"Rusk County, Texas",48401,"49.99 (46.98, 53.26)","50.40 (47.48, 53.36)","52.50 (49.91, 55.30)","57.73 (55.01, 60.73)","61.58 (58.65, 64.54)","63.35 (60.25, 66.39)","59.22 (56.08, 62.55)","59.15 (55.84, 62.76)","18.32 (8.55, 29.44)"
"Sabine County, Texas",48403,"46.78 (42.50, 51.11)","47.49 (43.60, 51.36)","49.74 (46.01, 53.42)","55.80 (52.29, 59.48)","62.93 (58.90, 67.10)","64.28 (60.15, 68.86)","61.70 (57.56, 65.95)","64.47 (59.36, 69.52)","37.82 (21.55, 56.98)"
"San Augustine County, Texas",48405,"55.26 (50.87, 60.15)","58.77 (54.43, 63.15)","63.28 (59.14, 67.39)","71.67 (67.24, 76.36)","80.32 (75.13, 85.26)","85.17 (79.83, 90.57)","79.95 (74.57, 85.54)","82.19 (75.98, 87.96)","48.74 (32.72, 65.93)"
"San Jacinto County, Texas",48407,"50.74 (46.98, 54.75)","49.44 (46.06, 52.93)","49.93 (46.94, 53.01)","54.32 (51.23, 57.69)","58.14 (54.82, 61.22)","59.62 (56.08, 63.14)","55.87 (52.54, 59.48)","56.39 (52.51, 60.09)","11.14 (-0.02, 23.81)"
"San Patricio County, Texas",48409,"57.48 (54.21, 61.08)","61.53 (58.25, 64.98)","67.14 (63.77, 70.82)","76.98 (73.27, 80.53)","87.10 (83.04, 91.34)","88.79 (84.56, 92.77)","87.18 (83.04, 91.52)","87.85 (82.89, 92.58)","52.83 (40.34, 64.96)"
"San Saba County, Texas",48411,"37.81 (34.57, 41.03)","39.08 (36.16, 41.99)","40.95 (38.06, 44.05)","46.20 (43.19, 49.43)","52.80 (49.03, 56.53)","54.07 (49.97, 58.02)","52.82 (48.48, 57.26)","51.03 (46.06, 55.74)","34.96 (18.68, 52.65)"
"Schleicher County, Texas",48413,"46.88 (42.49, 51.61)","50.84 (46.69, 55.58)","56.81 (52.36, 61.65)","66.91 (61.39, 72.63)","80.44 (73.74, 87.43)","78.50 (71.64, 85.53)","71.00 (64.24, 78.12)","74.38 (67.04, 82.78)","58.65 (38.15, 81.17)"
"Scurry County, Texas",48415,"36.90 (34.22, 39.77)","39.40 (36.88, 42.16)","43.38 (40.68, 46.05)","50.60 (47.71, 53.69)","59.81 (56.39, 63.75)","63.88 (59.75, 68.13)","61.19 (57.29, 65.41)","64.64 (59.66, 69.79)","75.19 (56.58, 95.81)"
"Shackelford County, Texas",48417,"42.80 (38.72, 46.89)","43.84 (39.95, 47.71)","46.95 (43.10, 51.02)","51.81 (47.68, 56.08)","59.04 (53.96, 64.07)","61.34 (55.81, 67.22)","58.44 (52.38, 64.62)","57.83 (51.12, 64.19)","35.12 (18.02, 55.10)"
"Shelby County, Texas",48419,"58.29 (54.04, 62.30)","60.74 (57.13, 64.48)","65.09 (61.51, 68.78)","72.79 (68.73, 76.87)","82.52 (78.08, 87.04)","86.68 (81.87, 91.67)","83.21 (78.35, 87.93)","87.06 (81.62, 92.37)","49.36 (35.42, 65.35)"
"Sherman County, Texas",48421,"36.78 (33.34, 40.62)","39.15 (35.66, 42.72)","42.67 (38.91, 46.49)","50.25 (45.91, 54.53)","59.27 (53.96, 64.65)","62.93 (56.89, 69.37)","63.68 (57.41, 70.35)","65.34 (58.20, 73.16)","77.64 (55.29, 103.74)"
"Smith County, Texas",48423,"46.88 (44.26, 49.56)","47.87 (45.60, 50.21)","49.09 (46.99, 51.33)","55.15 (52.81, 57.75)","59.63 (57.07, 62.03)","56.36 (54.00, 58.84)","55.67 (53.08, 58.35)","58.83 (56.11, 61.63)","25.50 (17.20, 34.68)"
"Somervell County, Texas",48425,"48.90 (44.08, 54.08)","49.97 (45.85, 54.47)","52.21 (48.44, 56.44)","56.08 (52.11, 60.47)","60.78 (56.65, 65.34)","60.94 (56.53, 65.70)","57.84 (52.95, 62.74)","58.34 (52.98, 63.77)","19.30 (3.40, 36.34)"
"Starr County, Texas",48427,"65.60 (60.98, 70.67)","66.39 (62.27, 70.71)","68.71 (64.81, 72.80)","72.74 (69.06, 76.43)","79.89 (75.74, 84.44)","79.43 (75.50, 83.60)","76.63 (72.70, 80.91)","75.00 (70.29, 79.47)","14.33 (2.07, 26.87)"
"Stephens County, Texas",48429,"50.28 (46.38, 54.65)","51.10 (47.52, 55.23)","54.72 (51.12, 58.55)","60.86 (56.71, 65.06)","66.94 (62.59, 71.14)","67.24 (62.90, 72.03)","66.56 (61.45, 71.92)","65.09 (59.73, 70.39)","29.45 (13.56, 46.69)"
"Sterling County, Texas",48431,"45.12 (39.98, 50.69)","46.94 (42.05, 52.61)","51.99 (46.54, 58.03)","53.75 (48.20, 59.92)","58.89 (52.38, 65.78)","62.05 (55.21, 69.78)","59.27 (51.69, 67.57)","60.36 (52.54, 68.86)","33.78 (14.80, 55.60)"
"Stonewall County, Texas",48433,"49.58 (44.68, 54.36)","52.27 (47.57, 56.91)","54.95 (50.17, 59.89)","62.07 (56.74, 67.53)","73.79 (67.27, 80.30)","77.17 (70.15, 84.51)","70.90 (63.88, 78.30)","72.88 (65.07, 81.51)","46.99 (27.56, 68.87)"
"Sutton County, Texas",48435,"67.22 (60.84, 74.44)","70.41 (64.71, 76.68)","76.97 (71.19, 83.31)","86.32 (79.90, 93.15)","98.54 (91.05, 106.95)","101.11 (92.78, 109.27)","98.56 (89.70, 108.34)","101.19 (91.72, 110.85)","50.53 (31.94, 71.76)"
"Swisher County, Texas",48437,"38.79 (35.31, 42.31)","42.64 (39.17, 46.15)","47.15 (43.75, 50.55)","55.96 (52.15, 59.82)","65.16 (60.88, 69.69)","71.89 (66.63, 77.24)","72.09 (66.63, 78.00)","77.96 (71.21, 85.02)","100.96 (76.06, 127.72)"
"Tarrant County, Texas",48439,"48.89 (46.92, 51.12)","52.69 (50.73, 54.63)","53.75 (51.69, 55.59)","55.03 (53.04, 57.07)","58.70 (56.75, 60.77)","58.74 (56.72, 60.56)","59.54 (57.47, 61.59)","62.90 (60.65, 65.17)","28.65 (21.82, 34.82)"
"Taylor County, Texas",48441,"42.39 (39.90, 44.96)","44.09 (41.80, 46.18)","48.46 (46.02, 50.67)","56.06 (53.47, 58.61)","64.83 (61.73, 67.59)","71.15 (67.91, 74.30)","69.85 (66.72, 72.89)","70.00 (66.59, 73.41)","65.15 (53.06, 78.77)"
"Terrell County, Texas",48443,"57.55 (50.43, 65.25)","58.16 (51.71, 65.57)","60.19 (53.66, 67.38)","65.57 (58.31, 73.10)","73.25 (64.94, 82.29)","66.06 (58.27, 74.64)","63.11 (54.83, 72.41)","66.41 (56.85, 76.32)","15.39 (-3.22, 37.37)"
"Terry County, Texas",48445,"46.07 (42.29, 50.01)","49.16 (45.90, 52.72)","53.70 (50.51, 57.29)","62.76 (59.07, 66.45)","73.21 (68.67, 77.54)","78.53 (73.61, 83.48)","78.87 (73.36, 84.30)","81.51 (75.77, 87.31)","76.93 (57.23, 98.28)"
"Throckmorton County, Texas",48447,"47.28 (42.92, 52.27)","49.84 (45.54, 54.59)","54.24 (49.68, 58.92)","59.91 (54.88, 65.25)","67.37 (61.95, 73.94)","69.58 (62.90, 76.29)","66.27 (59.41, 73.84)","65.56 (58.12, 73.92)","38.67 (19.82, 59.58)"
"Titus County, Texas",48449,"57.07 (52.71, 61.20)","57.03 (53.28, 60.92)","58.41 (55.14, 61.75)","63.91 (60.58, 67.50)","71.69 (67.96, 75.37)","73.72 (69.48, 77.94)","67.45 (63.59, 71.14)","67.01 (62.47, 71.39)","17.42 (5.44, 30.45)"
